127.0.0.1 - - [19/Jul/2022:09:58:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:58:48 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:58:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:00:22 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:02:42 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 500 3148
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:09 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:10 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:11 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:11 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:11 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:11 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:11 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:12 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:12 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:12 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:12 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:13 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:13 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:07:13 +0900] "GET /jweb/ch02/include/main.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [19/Jul/2022:10:13:42 +0900] "GET /jweb/ch02/actiontag/forward.jsp HTTP/1.1" 200 187
